Diploma Course,Poly_name,Poly_short,School,Course Codes,Type,Agg Type,JAE 2024 Intake,JAE 2023 Intake,PFP Group,PFP 2022 ELMAB3,PFP 2023 ELMAB3,PFP 2024 ELMAB3
ACCOUNTANCY,Ngee Ann Polytechnic,NP,School of Business & Accountancy,N51,BM,B,135,135,2,8,6,7
BANKING & FINANCE,Ngee Ann Polytechnic,NP,School of Business & Accountancy,N53,BM,B,75,75,2,5,5,4
BUSINESS STUDIES,Ngee Ann Polytechnic,NP,School of Business & Accountancy,N45,BM,B,150,150,2,7,8,8
COMMON BUSINESS PROGRAMME,Ngee Ann Polytechnic,NP,School of Business & Accountancy,N97,BM,B,220,220,2,8,8,8
INTERNATIONAL TRADE & BUSINESS,Ngee Ann Polytechnic,NP,School of Business & Accountancy,N85,BM,B,75,75,2,9,10,9
TOURISM & RESORT MANAGEMENT,Ngee Ann Polytechnic,NP,School of Business & Accountancy,N72,BM,B,50,50,2,9,11,9
DESIGN,Ngee Ann Polytechnic,NP,School of Design & Environment,N12,MD,D,70,75,1,7,9,9
HOTEL & LEISURE FACILITIES MANAGEMENT,Ngee Ann Polytechnic,NP,School of Design & Environment,N40,BE,C,75,95,1,9,9,9
REAL ESTATE BUSINESS,Ngee Ann Polytechnic,NP,School of Design & Environment,N48,BM,B,75,75,1,9,9,8
AEROSPACE ENGINEERING,Ngee Ann Polytechnic,NP,School of Engineering,N65,EN,C,125,125,1,11,9,10
BIOMEDICAL ENGINEERING,Ngee Ann Polytechnic,NP,School of Engineering,N60,EN,C,50,50,1,7,6,8
COMMON ENGINEERING PROGRAMME,Ngee Ann Polytechnic,NP,School of Engineering,N71,EN,C,300,325,1,10,11,11
ELECTRICAL ENGINEERING,Ngee Ann Polytechnic,NP,School of Engineering,N43,EN,C,75,75,1,8,9,10
ELECTRONIC & COMPUTER ENGINEERING,Ngee Ann Polytechnic,NP,School of Engineering,N44,EN,C,125,125,1,10,11,10
ENGINEERING SCIENCE,Ngee Ann Polytechnic,NP,School of Engineering,N93,EN,C,40,40,1,5,5,3
MECHANICAL ENGINEERING,Ngee Ann Polytechnic,NP,School of Engineering,N41,EN,C,120,125,1,10,11,10
MECHATRONICS & ROBOTICS (Automation & Mechatronic Systems),Ngee Ann Polytechnic,NP,School of Engineering,N50,EN,C,70,75,1,9,8,10
OFFSHORE & SUSTAINABLE ENGINEERING,Ngee Ann Polytechnic,NP,School of Engineering,N42,MS,C,40,40,1,7,6,7
COMMON MEDIA PROGRAMME,Ngee Ann Polytechnic,NP,School of Film & Media Studies,N14,MD,A,65,70,2,-,7,7
"FILM, SOUND & VIDEO",Ngee Ann Polytechnic,NP,School of Film & Media Studies,N82,MD,D,40,40,2,8,6,8
MASS COMMUNICATION,Ngee Ann Polytechnic,NP,School of Film & Media Studies,N67,MD,A,70,75,2,7,6,5
MEDIA POST-PRODUCTION,Ngee Ann Polytechnic,NP,School of Film & Media Studies,N13,MD,D,40,40,2,9,7,10
NURSING,Ngee Ann Polytechnic,NP,School of Health Sciences,N69,HS,C,580,600,1,10,9,11
OPTOMETRY,Ngee Ann Polytechnic,NP,School of Health Sciences,N83,HS,C,45,45,1,6,6,6
ARTS BUSINESS MANAGEMENT,Ngee Ann Polytechnic,NP,School of Humanities & Social Sciences & Interdisciplinary Studies,N91,BM,B,40,40,2,9,9,9
CHINESE MEDIA & COMMUNICATION,Ngee Ann Polytechnic,NP,School of Humanities & Social Sciences & Interdisciplinary Studies,N88,MD,A,40,40,2,8,6,8
CHINESE STUDIES,Ngee Ann Polytechnic,NP,School of Humanities & Social Sciences & Interdisciplinary Studies,N70,HU,A,45,50,2,7,7,10
EARLY CHILDHOOD DEVELOPMENT & EDUCATION,Ngee Ann Polytechnic,NP,School of Humanities & Social Sciences & Interdisciplinary Studies,N96,HU,A,440,450,2,10,12,12
